username,kex_algorithm,hostkey_algorithm,cipher,mac,compression,session_id
SCFUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",12533
RMSPROD001,diffie-hellman-group1-sha1,ssh-rsa,3des-cbc/3des-cbc,hmac-md5/hmac-md5,"none/none""",12543
EWHUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",12588
EBANUSR001,ecdh-sha2-nistp256,rsa-sha2-512,aes128-ctr/aes128-ctr,hmac-sha2-256/hmac-sha2-256,"none/none""",52453
,,ecdh-sha2-nistp256,ssh-rsa,aes256-ctr/aes256-ctr,hmac-sha2-256/hmac-sha2-256,47231
DOCPUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",52493
CCMUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-ctr/aes128-ctr,hmac-md5/hmac-md5,"none/none""",52500
EWLUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",52795
GPMSUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",53167
MCDMUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",53168
DIHUSR001,ecdh-sha2-nistp256,ssh-rsa,aes256-ctr/aes256-ctr,hmac-sha2-256/hmac-sha2-256,"none/none""",83163
MCLUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-ctr/aes128-ctr,hmac-md5/hmac-md5,"none/none""",83293
cogusr,ecdh-sha2-nistp256,ssh-rsa,aes128-ctr/aes128-ctr,hmac-md5/hmac-md5,"none/none""",83693
L4EUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",84096
KCLGUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",84134
MTDUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",116632
JKAMCUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",116635
VNDTHUSR001,ecdh-sha2-nistp256,ssh-rsa,aes128-cbc/aes128-cbc,hmac-md5/hmac-md5,"none/none""",116773
